batsman,out,run,ball,minutes,4s,6s,sr,match_id,batting_position
TOTAL,20 Ov (RR: 9.35),187/5,,,,,,1359540,9
Abhishek Sharma ,c Lomror b Bracewell,11,14,22,2,0,78.57,1359539,1
Rahul Tripathi ,c Patel b Bracewell,15,12,25,2,1,125.00,1359539,2
Aiden Markram (c), b Shahbaz Ahmed,18,20,37,0,0,90.00,1359539,3
Heinrich Klaasen †, b Patel,104,51,62,8,6,203.92,1359539,4
Harry Brook ,not out ,27,19,37,2,1,142.10,1359539,5
Glenn Phillips ,c Parnell b Mohammed Siraj,5,4,10,1,0,125.00,1359539,6
Extras,"(b 1, w 5)",6,,,,,,1359539,7
TOTAL,20 Ov (RR: 9.30),186/5,,,,,,1359539,8
David Warner (c),c Dhawan b Curran,46,31,53,5,2,148.38,1359538,1
Prithvi Shaw ,c Taide b Curran,54,38,74,7,1,142.10,1359538,2
Rilee Rossouw ,not out ,82,37,44,6,6,221.62,1359538,3
Phil Salt †,not out ,26,14,21,2,2,185.71,1359538,4
Extras,(w 5),5,,,,,,1359538,5
TOTAL,20 Ov (RR: 10.65),213/2,,,,,,1359538,6
Deepak Hooda ,c David b Behrendorff,5,7,12,0,0,71.42,1359537,1
Quinton de Kock †,c †Ishan Kishan b Chawla,16,15,31,0,2,106.66,1359537,2
Prerak Mankad ,c †Ishan Kishan b Behrendorff,0,1,2,0,0,0.00,1359537,3
Krunal Pandya (c),retired hurt ,49,42,71,1,1,116.66,1359537,4
Marcus Stoinis ,not out ,89,47,80,4,8,189.36,1359537,5
Nicholas Pooran ,not out ,8,8,25,1,0,100.00,1359537,6
Extras,"(lb 5, w 5)",10,,,,,,1359537,7
TOTAL,20 Ov (RR: 8.85),177/3,,,,,,1359537,8
Wriddhiman Saha †,c Abhishek Sharma b Kumar,0,3,4,0,0,0.00,1359536,1
Shubman Gill ,c Abdul Samad b Kumar,101,58,100,13,1,174.13,1359536,2
Sai Sudharsan ,c Natarajan b Jansen,47,36,70,6,1,130.55,1359536,3
Hardik Pandya (c),c Tripathi b Kumar,8,6,7,1,0,133.33,1359536,4
David Miller ,c Markram b Natarajan,7,5,8,1,0,140.00,1359536,5
Rahul Tewatia ,c Jansen b Fazalhaq Farooqi,3,3,7,0,0,100.00,1359536,6
Dasun Shanaka ,not out ,9,7,12,1,0,128.57,1359536,7
Rashid Khan ,c †Klaasen b Kumar,0,1,2,0,0,0.00,1359536,8
Noor Ahmad ,run out (†Klaasen/Kumar),0,1,1,0,0,0.00,1359536,9
Mohammed Shami ,c Jansen b Kumar,0,1,3,0,0,0.00,1359536,10
Mohit Sharma ,not out ,0,1,1,0,0,0.00,1359536,11
Extras,"(b 1, nb 2, w 10)",13,,,,,,1359536,12
TOTAL,20 Ov (RR: 9.40),188/9,,,,,,1359536,13
Ruturaj Gaikwad ,c Arora b Varun,17,13,19,2,0,130.76,1359535,1
Devon Conway ,c Singh b Thakur,30,28,51,3,0,107.14,1359535,2
Ajinkya Rahane ,c Roy b Varun,16,11,24,1,1,145.45,1359535,3
Ambati Rayudu , b Narine,4,7,14,0,0,57.14,1359535,4
Shivam Dube ,not out ,48,34,55,1,3,141.17,1359535,5
Moeen Ali , b Narine,1,2,5,0,0,50.00,1359535,6
Ravindra Jadeja ,c Varun b Arora,20,24,43,0,1,83.33,1359535,7
MS Dhoni (c)†,not out ,2,3,4,0,0,66.66,1359535,8
Extras,"(nb 2, w 4)",6,,,,,,1359535,9
TOTAL,20 Ov (RR: 7.20),144/6,,,,,,1359535,10
Virat Kohli ,c Jaiswal b Asif,18,19,31,1,0,94.73,1359534,1
Faf du Plessis (c),c Jaiswal b Asif,55,44,65,3,2,125.00,1359534,2
Glenn Maxwell , b Sandeep Sharma,54,33,51,5,3,163.63,1359534,3
Mahipal Lomror ,c Jurel b Zampa,1,2,5,0,0,50.00,1359534,4
Dinesh Karthik †,lbw b Zampa,0,2,3,0,0,0.00,1359534,5
Michael Bracewell ,not out ,9,9,21,0,0,100.00,1359534,6
Anuj Rawat ,not out ,29,11,12,3,2,263.63,1359534,7
Extras,(w 5),5,,,,,,1359534,8
TOTAL,20 Ov (RR: 8.55),171/5,,,,,,1359534,9
Prabhsimran Singh , b Mukesh Kumar,103,65,87,10,6,158.46,1359533,1
Shikhar Dhawan (c),c Rossouw b Sharma,7,5,9,0,1,140.00,1359533,2
Liam Livingstone , b Sharma,4,5,15,1,0,80.00,1359533,3
Jitesh Sharma †, b Patel,5,5,8,1,0,100.00,1359533,4
Sam Curran ,c Aman Hakim Khan b Dubey,20,24,39,1,0,83.33,1359533,5
Harpreet Brar ,c Marsh b Kuldeep Yadav,2,5,9,0,0,40.00,1359533,6
M Shahrukh Khan ,run out (†Salt/Ahmed),2,4,22,0,0,50.00,1359533,7
Sikandar Raza ,not out ,11,7,11,0,1,157.14,1359533,8
Rishi Dhawan ,not out ,0,0,1,0,0,-,1359533,9
Extras,"(lb 2, w 11)",13,,,,,,1359533,10
TOTAL,20 Ov (RR: 8.35),167/7,,,,,,1359533,11
Anmolpreet Singh ,c & b Mishra,36,27,46,7,0,133.33,1359532,1
Abhishek Sharma ,c †de Kock b Yudhvir Singh,7,5,14,1,0,140.00,1359532,2
Rahul Tripathi ,c †de Kock b Yash Thakur,20,13,19,4,0,153.84,1359532,3
Aiden Markram (c),st †de Kock b Pandya,28,20,28,2,1,140.00,1359532,4
Heinrich Klaasen †,c Mankad b Avesh Khan,47,29,52,3,3,162.06,1359532,5
Glenn Phillips , b Pandya,0,1,2,0,0,0.00,1359532,6
Abdul Samad ,not out ,37,25,41,1,4,148.00,1359532,7
Bhuvneshwar Kumar ,not out ,2,1,6,0,0,200.00,1359532,8
Extras,"(lb 2, nb 1, w 2)",5,,,,,,1359532,9
TOTAL,20 Ov (RR: 9.10),182/6,,,,,,1359532,10
Ishan Kishan †,lbw b Rashid Khan,31,20,38,4,1,155.00,1359531,1
Rohit Sharma (c),c Tewatia b Rashid Khan,29,18,34,3,2,161.11,1359531,2
Suryakumar Yadav ,not out ,103,49,73,11,6,210.20,1359531,3
Nehal Wadhera , b Rashid Khan,15,7,12,1,1,214.28,1359531,4
Vishnu Vinod ,c Manohar b Sharma,30,20,36,2,2,150.00,1359531,5
Tim David ,c & b Rashid Khan,5,3,6,1,0,166.66,1359531,6
Cameron Green ,not out ,3,3,18,0,0,100.00,1359531,7
Extras,(lb 2),2,,,,,,1359531,8
TOTAL,20 Ov (RR: 10.90),218/5,,,,,,1359531,9
Jason Roy ,c Hetmyer b Boult,10,8,14,2,0,125.00,1359530,1
Rahmanullah Gurbaz †,c Sandeep Sharma b Boult,18,12,23,1,2,150.00,1359530,2
Venkatesh Iyer ,c Boult b Chahal,57,42,68,2,4,135.71,1359530,3
Nitish Rana (c),c Hetmyer b Chahal,22,17,26,2,0,129.41,1359530,4
Andre Russell ,c Ashwin b Asif,10,10,19,0,1,100.00,1359530,5
Rinku Singh ,c Root b Chahal,16,18,30,0,1,88.88,1359530,6
Shardul Thakur ,lbw b Chahal,1,2,5,0,0,50.00,1359530,7
Anukul Roy ,not out ,6,6,20,0,0,100.00,1359530,8
Sunil Narine ,c Root b Sandeep Sharma,6,5,9,1,0,120.00,1359530,9
Extras,"(lb 2, w 1)",3,,,,,,1359530,10
TOTAL,20 Ov (RR: 7.45),149/8,,,,,,1359530,11
Ruturaj Gaikwad ,c Aman Hakim Khan b AR Patel,24,18,39,4,0,133.33,1359529,1
Devon Conway ,lbw b AR Patel,10,13,28,1,0,76.92,1359529,2
Ajinkya Rahane ,c & b Lalit Yadav,21,20,31,2,0,105.00,1359529,3
Moeen Ali ,c Marsh b Kuldeep Yadav,7,12,13,0,0,58.33,1359529,4
Shivam Dube ,c Warner b Marsh,25,12,24,0,3,208.33,1359529,5
Ambati Rayudu ,c RV Patel b Ahmed,23,17,28,1,1,135.29,1359529,6
Ravindra Jadeja ,c AR Patel b Marsh,21,16,30,1,1,131.25,1359529,7
MS Dhoni (c)†,c Warner b Marsh,20,9,22,1,2,222.22,1359529,8
Deepak Chahar ,not out ,1,2,6,0,0,50.00,1359529,9
Tushar Deshpande ,not out ,0,1,2,0,0,0.00,1359529,10
Extras,"(b 1, lb 4, w 10)",15,,,,,,1359529,11
TOTAL,20 Ov (RR: 8.35),167/8,,,,,,1359529,12
Virat Kohli ,c †Ishan Kishan b Behrendorff,1,4,7,0,0,25.00,1359528,1
Faf du Plessis (c),c sub (Vishnu Vinod) b Green,65,41,78,5,3,158.53,1359528,2
Anuj Rawat ,c Green b Behrendorff,6,4,8,1,0,150.00,1359528,3
Glenn Maxwell ,c Wadhera b Behrendorff,68,33,53,8,4,206.06,1359528,4
Mahipal Lomror , b Kartikeya,1,3,6,0,0,33.33,1359528,5
Dinesh Karthik †,c Wadhera b Jordan,30,18,31,4,1,166.66,1359528,6
Kedar Jadhav ,not out ,12,10,33,1,0,120.00,1359528,7
Wanindu Hasaranga ,not out ,12,8,11,2,0,150.00,1359528,8
Extras,"(lb 1, nb 1, w 2)",4,,,,,,1359528,9
TOTAL,20 Ov (RR: 9.95),199/6,,,,,,1359528,10
Prabhsimran Singh ,c †Rahmanullah Gurbaz b Harshit Rana,12,8,11,3,0,150.00,1359527,1
Shikhar Dhawan (c),c Arora b Rana,57,47,80,9,1,121.27,1359527,2
Bhanuka Rajapaksa ,c †Rahmanullah Gurbaz b Harshit Rana,0,3,11,0,0,0.00,1359527,3
Liam Livingstone ,lbw b Varun,15,9,16,3,0,166.66,1359527,4
Jitesh Sharma †,c †Rahmanullah Gurbaz b Varun,21,18,34,0,2,116.66,1359527,5
Sam Curran ,c †Rahmanullah Gurbaz b Suyash Sharma,4,9,25,0,0,44.44,1359527,6
Rishi Dhawan , b Varun,19,11,12,1,1,172.72,1359527,7
M Shahrukh Khan ,not out ,21,8,20,3,1,262.50,1359527,8
Harpreet Brar ,not out ,17,9,17,2,1,188.88,1359527,9
Extras,"(b 4, lb 3, nb 2, w 4)",13,,,,,,1359527,10
TOTAL,20 Ov (RR: 8.95),179/7,,,,,,1359527,11
Yashasvi Jaiswal ,c Natarajan b Jansen,35,18,27,5,2,194.44,1359526,1
Jos Buttler ,lbw b Kumar,95,59,84,10,4,161.01,1359526,2
Sanju Samson (c)†,not out ,66,38,66,4,5,173.68,1359526,3
Shimron Hetmyer ,not out ,7,5,8,0,0,140.00,1359526,4
Extras,"(b 1, lb 5, w 5)",11,,,,,,1359526,5
TOTAL,20 Ov (RR: 10.70),214/2,,,,,,1359526,6
Wriddhiman Saha †,c sub (PN Mankad) b Avesh Khan,81,43,59,10,4,188.37,1359525,1
Shubman Gill ,not out ,94,51,96,2,7,184.31,1359525,2
Hardik Pandya (c),c Pandya b Mohsin Khan,25,15,20,1,2,166.66,1359525,3
David Miller ,not out ,21,12,19,2,1,175.00,1359525,4
Extras,"(lb 1, nb 1, w 4)",6,,,,,,1359525,5
TOTAL,20 Ov (RR: 11.35),227/2,,,,,,1359525,6
Virat Kohli ,c Ahmed b Mukesh Kumar,55,46,74,5,0,119.56,1359524,1
Faf du Plessis (c),c AR Patel b Marsh,45,32,46,5,1,140.62,1359524,2
Glenn Maxwell ,c †Salt b Marsh,0,1,2,0,0,0.00,1359524,3
Mahipal Lomror ,not out ,54,29,53,6,3,186.20,1359524,4
Dinesh Karthik †,c Warner b Ahmed,11,9,22,0,1,122.22,1359524,5
Anuj Rawat ,not out ,8,3,5,0,1,266.66,1359524,6
Extras,"(lb 2, w 6)",8,,,,,,1359524,7
TOTAL,20 Ov (RR: 9.05),181/4,,,,,,1359524,8
Cameron Green , b Deshpande,6,4,10,1,0,150.00,1359523,1
Ishan Kishan †,c Theekshana b Chahar,7,9,15,1,0,77.77,1359523,2
Rohit Sharma (c),c Jadeja b Chahar,0,3,9,0,0,0.00,1359523,3
Nehal Wadhera , b Pathirana,64,51,68,8,1,125.49,1359523,4
Suryakumar Yadav , b Jadeja,26,22,35,3,0,118.18,1359523,5
Tristan Stubbs ,c Jadeja b Pathirana,20,21,44,2,0,95.23,1359523,6
Tim David ,c Gaikwad b Deshpande,2,4,7,0,0,50.00,1359523,7
Arshad Khan ,c Gaikwad b Pathirana,1,2,6,0,0,50.00,1359523,8
Jofra Archer ,not out ,3,2,5,0,0,150.00,1359523,9
Piyush Chawla ,not out ,2,2,2,0,0,100.00,1359523,10
Extras,"(lb 5, w 3)",8,,,,,,1359523,11
TOTAL,20 Ov (RR: 6.95),139/8,,,,,,1359523,12
Yashasvi Jaiswal ,run out (Sharma/Rashid Khan),14,11,31,1,1,127.27,1359522,1
Jos Buttler ,c Sharma b Pandya,8,6,10,2,0,133.33,1359522,2
Sanju Samson (c)†,c Pandya b Little,30,20,27,3,1,150.00,1359522,3
Devdutt Padikkal , b Noor Ahmad,12,12,30,1,0,100.00,1359522,4
Ravichandran Ashwin , b Rashid Khan,2,6,6,0,0,33.33,1359522,5
Riyan Parag ,lbw b Rashid Khan,4,6,8,0,0,66.66,1359522,6
Shimron Hetmyer ,lbw b Rashid Khan,7,13,29,0,0,53.84,1359522,7
Dhruv Jurel ,lbw b Noor Ahmad,9,8,13,1,0,112.50,1359522,8
Trent Boult , b Mohammed Shami,15,11,15,1,1,136.36,1359522,9
Adam Zampa ,run out (Manohar),7,9,19,0,0,77.77,1359522,10
Sandeep Sharma ,not out ,2,5,8,0,0,40.00,1359522,11
Extras,"(lb 1, w 7)",8,,,,,,1359522,12
TOTAL,17.5 Ov (RR: 6.61),118,,,,,,1359522,13
Jason Roy ,c Agarwal b Kartik Tyagi,20,19,27,4,0,105.26,1359521,1
Rahmanullah Gurbaz †,c Brook b Jansen,0,1,7,0,0,0.00,1359521,2
Venkatesh Iyer ,c †Klaasen b Jansen,7,4,6,1,0,175.00,1359521,3
Nitish Rana (c),c & b Markram,42,31,46,3,3,135.48,1359521,4
Rinku Singh ,c Abdul Samad b Natarajan,46,35,67,4,1,131.42,1359521,5
Andre Russell ,c Natarajan b Markande,24,15,13,1,2,160.00,1359521,6
Sunil Narine ,c Agarwal b Kumar,1,2,6,0,0,50.00,1359521,7
Shardul Thakur ,c Abdul Samad b Natarajan,8,6,9,1,0,133.33,1359521,8
Anukul Roy ,not out ,13,7,11,2,0,185.71,1359521,9
Harshit Rana ,run out (†Klaasen/Natarajan),0,1,2,0,0,0.00,1359521,10
Vaibhav Arora ,not out ,2,1,2,0,0,200.00,1359521,11
Extras,"(lb 1, nb 2, w 5)",8,,,,,,1359521,12
TOTAL,20 Ov (RR: 8.55),171/9,,,,,,1359521,13
Prabhsimran Singh ,c †Ishan Kishan b Arshad Khan,9,7,8,1,0,128.57,1359520,1
Shikhar Dhawan (c),st †Ishan Kishan b Chawla,30,20,35,5,0,150.00,1359520,2
Matthew Short , b Chawla,27,26,46,2,1,103.84,1359520,3
Liam Livingstone ,not out ,82,42,65,7,4,195.23,1359520,4
Jitesh Sharma †,not out ,49,27,46,5,2,181.48,1359520,5
Extras,"(lb 5, nb 2, w 10)",17,,,,,,1359520,6
TOTAL,20 Ov (RR: 10.70),214/3,,,,,,1359520,7
Phil Salt †,c Miller b Mohammed Shami,0,1,2,0,0,0.00,1359518,1
David Warner (c),run out (Rashid Khan),2,2,10,0,0,100.00,1359518,2
Priyam Garg ,c †Saha b Mohammed Shami,10,14,26,0,0,71.42,1359518,3
Rilee Rossouw ,c †Saha b Mohammed Shami,8,6,9,2,0,133.33,1359518,4
Manish Pandey ,c †Saha b Mohammed Shami,1,4,7,0,0,25.00,1359518,5
Axar Patel ,c Rashid Khan b Sharma,27,30,43,2,1,90.00,1359518,6
Aman Hakim Khan ,c Manohar b Rashid Khan,51,44,62,3,3,115.90,1359518,7
Ripal Patel ,c Pandya b Sharma,23,13,32,2,1,176.92,1359518,8
Anrich Nortje ,not out ,3,6,8,0,0,50.00,1359518,9
Kuldeep Yadav ,not out ,0,1,1,0,0,0.00,1359518,10
Extras,"(lb 1, nb 1, w 3)",5,,,,,,1359518,11
TOTAL,20 Ov (RR: 6.50),130/8,,,,,,1359518,12
Virat Kohli ,st †Pooran b Ravi Bishnoi,31,30,42,3,0,103.33,1359517,1
Faf du Plessis (c),c Pandya b Mishra,44,40,83,1,1,110.00,1359517,2
Anuj Rawat ,c Mayers b Gowtham,9,11,13,0,0,81.81,1359517,3
Glenn Maxwell ,lbw b Ravi Bishnoi,4,5,8,0,0,80.00,1359517,4
Suyash Prabhudessai ,c Gowtham b Mishra,6,7,10,0,0,85.71,1359517,5
Dinesh Karthik †,run out (Yash Thakur),16,11,25,1,1,145.45,1359517,6
Mahipal Lomror ,lbw b Naveen-ul-Haq,3,4,7,0,0,75.00,1359517,7
Wanindu Hasaranga ,not out ,8,7,14,1,0,114.28,1359517,8
Karn Sharma ,c Gowtham b Naveen-ul-Haq,2,2,5,0,0,100.00,1359517,9
Mohammed Siraj ,c †Pooran b Naveen-ul-Haq,0,1,3,0,0,0.00,1359517,10
Josh Hazlewood ,not out ,1,2,3,0,0,50.00,1359517,11
Extras,(w 2),2,,,,,,1359517,12
TOTAL,20 Ov (RR: 6.30),126/9,,,,,,1359517,13
Yashasvi Jaiswal ,c & b Arshad Khan,124,62,112,16,8,200.00,1359516,1
Jos Buttler ,c sub (Ramandeep Singh) b Chawla,18,19,40,2,1,94.73,1359516,2
Sanju Samson (c)†,c Tilak Varma b Arshad Khan,14,10,15,1,1,140.00,1359516,3
Devdutt Padikkal , b Chawla,2,4,6,0,0,50.00,1359516,4
Jason Holder ,c David b Archer,11,9,18,0,1,122.22,1359516,5
Shimron Hetmyer ,c Yadav b Arshad Khan,8,9,14,0,1,88.88,1359516,6
Dhruv Jurel ,c Tilak Varma b Meredith,2,3,6,0,0,66.66,1359516,7
Ravichandran Ashwin ,not out ,8,5,20,1,0,160.00,1359516,8
Trent Boult ,not out ,0,0,4,0,0,-,1359516,9
Extras,"(b 1, lb 7, nb 1, w 16)",25,,,,,,1359516,10
TOTAL,20 Ov (RR: 10.60),212/7,,,,,,1359516,11
Ruturaj Gaikwad ,st †Sharma b Sikandar Raza,37,31,47,4,1,119.35,1359515,1
Devon Conway ,not out ,92,52,103,16,1,176.92,1359515,2
Shivam Dube ,c Shahrukh Khan b Arshdeep Singh,28,17,23,1,2,164.70,1359515,3
Moeen Ali ,st †Sharma b Chahar,10,6,12,2,0,166.66,1359515,4
Ravindra Jadeja ,c Livingstone b Curran,12,10,15,0,0,120.00,1359515,5
MS Dhoni (c)†,not out ,13,4,8,0,2,325.00,1359515,6
Extras,"(lb 1, w 7)",8,,,,,,1359515,7
TOTAL,20 Ov (RR: 10.00),200/4,,,,,,1359515,8
Abhishek Sharma ,c Warner b AR Patel,67,36,62,12,1,186.11,1359514,1
Mayank Agarwal ,c †Salt b Sharma,5,6,15,1,0,83.33,1359514,2
Rahul Tripathi ,c Pandey b Marsh,10,6,12,0,1,166.66,1359514,3
Aiden Markram (c),c AR Patel b Marsh,8,13,21,0,0,61.53,1359514,4
Harry Brook ,c AR Patel b Marsh,0,2,3,0,0,0.00,1359514,5
Heinrich Klaasen †,not out ,53,27,50,2,4,196.29,1359514,6
Abdul Samad ,c †Salt b Marsh,28,21,21,1,2,133.33,1359514,7
Akeal Hosein ,not out ,16,10,17,1,1,160.00,1359514,8
Extras,"(lb 1, nb 1, w 8)",10,,,,,,1359514,9
TOTAL,20 Ov (RR: 9.85),197/6,,,,,,1359514,10
Narayan Jagadeesan †,lbw b Mohammed Shami,19,15,16,4,0,126.66,1359513,1
Rahmanullah Gurbaz ,c Rashid Khan b Noor Ahmad,81,39,80,5,7,207.69,1359513,2
Shardul Thakur ,c Sharma b Mohammed Shami,0,4,13,0,0,0.00,1359513,3
Venkatesh Iyer ,lbw b Little,11,14,27,0,0,78.57,1359513,4
Nitish Rana (c),c Tewatia b Little,4,3,5,1,0,133.33,1359513,5
Rinku Singh ,c Little b Noor Ahmad,19,20,33,0,1,95.00,1359513,6
Andre Russell ,c Tewatia b Mohammed Shami,34,19,22,2,3,178.94,1359513,7
David Wiese ,not out ,8,6,13,0,1,133.33,1359513,8
Extras,(w 3),3,,,,,,1359513,9
TOTAL,20 Ov (RR: 8.95),179/7,,,,,,1359513,10
KL Rahul (c),c Shahrukh Khan b Rabada,12,9,19,1,1,133.33,1359512,1
Kyle Mayers ,c Dhawan b Rabada,54,24,31,7,4,225.00,1359512,2
Ayush Badoni ,c Chahar b Livingstone,43,24,49,3,3,179.16,1359512,3
Marcus Stoinis ,c †Sharma b Curran,72,40,63,6,5,180.00,1359512,4
Nicholas Pooran †,lbw b Arshdeep Singh,45,19,36,7,1,236.84,1359512,5
Deepak Hooda ,not out ,11,6,12,2,0,183.33,1359512,6
Krunal Pandya ,not out ,5,2,3,1,0,250.00,1359512,7
Extras,"(lb 6, nb 4, w 5)",15,,,,,,1359512,8
TOTAL,20 Ov (RR: 12.85),257/5,,,,,,1359512,9
Yashasvi Jaiswal ,c Rahane b Deshpande,77,43,67,8,4,179.06,1359511,1
Jos Buttler ,c Dube b Jadeja,27,21,40,4,0,128.57,1359511,2
Sanju Samson (c)†,c Gaikwad b Deshpande,17,17,21,1,0,100.00,1359511,3
Shimron Hetmyer , b Theekshana,8,10,16,0,0,80.00,1359511,4
Dhruv Jurel ,run out (†Dhoni),34,15,32,3,2,226.66,1359511,5
Devdutt Padikkal ,not out ,27,13,22,5,0,207.69,1359511,6
Ravichandran Ashwin ,not out ,1,1,3,0,0,100.00,1359511,7
